screen_date,ticker1,ticker2,pair,name1,name2,economic_link,corr252,distance252,eg_p252,beta252,half_life252,beta_cv,crossings126,opportunities126,turnover1_yen,turnover2_yen,val_return,val_sharpe,val_trades,val_win_rate,eg_q_bh,score,eligible,overall_rank,eligible_rank,shortlist
2023-01-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8402874267551945,0.01031004619862668,0.052698418095253864,0.4734151198701143,8.25302165435825,0.13486848709621507,15,12,13132801486.889648,5031021299.658203,0.00490230953549764,0.23361093222157178,5,0.4,0.3612226836153969,0.7999501814239766,False,1.0,,False
2023-02-28,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8712463523348952,0.005400074363403879,0.10210177431840439,0.449469269213387,9.687467351177524,0.20157623646564515,16,17,11983171002.09961,4945406250.0,-0.024107828746645854,-0.834362643310941,6,0.3333333333333333,0.6636615330696286,0.7683148441879651,False,1.0,,False
2023-03-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8687196512854208,0.014732671059107591,0.4070700709523361,0.45223969369631273,13.810569178392312,0.2597498347733514,19,8,11983171002.09961,4945406250.0,-0.01675951664023556,-0.7084831899748142,5,0.2,0.5879901024867077,0.696828530123587,False,6.0,,False
2023-04-28,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8666523265670847,0.012691760369079742,0.5404242466120877,0.48543897664418434,18.092276997860537,0.20868453395666098,15,6,11628690887.768555,4917075656.542969,-0.06942386638786735,-2.638951144659309,5,0.0,0.6386832005415581,0.6000079618198193,False,30.0,,False
2023-05-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8603876599179124,0.008966503558094606,0.864471695215095,0.48504937833088096,39.481538455329655,0.29206151106703865,5,4,12834745025.756836,4657086244.628906,-0.09924938371351932,-3.5299308896918182,10,0.0,0.9519661032653621,0.5088554908491261,False,47.0,,False
2023-06-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8462515718585585,0.012183131349137283,0.9525182339779028,0.5970432874432817,101.65632612843302,0.28386187305148164,3,3,13333240431.66504,5015497087.792969,-0.08992285465713024,-2.526416768678024,21,0.3333333333333333,0.9777627805231155,0.4910901936103352,False,55.0,,False
2023-07-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8339595731651047,0.008953250924147291,0.9147335673917631,0.7416609375083031,71.23793620027875,0.22161257541354887,5,4,13902669732.56836,5015497087.792969,-0.16009324753746668,-4.777789446668768,30,0.2,0.9663924212839398,0.5059954698011119,False,50.0,,False
2023-08-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8502468468779616,0.005847258497816931,0.9514770049495367,0.7739330240188218,116.59131537441118,0.282122136194722,3,1,12235845347.973633,4999319350.12207,-0.15880410810245738,-5.195715520782917,40,0.2,0.9670735277592721,0.4384459523905507,False,61.0,,False
2023-09-29,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8484920697425263,0.004186268916495373,0.9504603586526714,0.7894285716689302,114.64379739492877,0.30241522776179947,19,0,12671804111.791992,4892477485.15625,-0.17614582757406538,-5.773747842800971,45,0.26666666666666666,0.9679239600062314,0.5009834318301496,False,51.0,,False
2023-10-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8147046159370004,0.006955155268808141,0.6836081071092345,0.2390021833493686,35.46212047340934,0.3886451856489523,24,0,13762673567.138672,5219196624.755859,-0.1620233083150221,-3.67588990068203,30,0.3333333333333333,0.9367294140090384,0.5810067561797169,False,35.0,,False
2023-11-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7801425165365614,0.0205816449883472,0.7238410056683434,-0.021379781903078147,29.111119678910406,0.5573936596008197,19,0,15147062266.699219,5440496280.517578,-0.11648694061418796,-2.389365558592253,20,0.3,1.0,0.564214324007875,False,31.0,,False
2023-12-29,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7636381756830081,0.03030444182991066,0.14840412744516468,-0.18051636890621636,13.927310394930473,0.33153851028189996,19,0,13927819665.771484,5149767261.71875,-0.09604376772680967,-2.0387214192224827,24,0.3333333333333333,0.4823134141967852,0.64675151624549,False,13.0,,False
2024-01-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7439263878081053,0.045997451999232025,0.08032947523154182,-0.3698627234652582,8.860983417323757,0.47020104796344214,20,0,13980004481.445312,4714783114.501953,-0.13511324555946835,-2.799323342806108,32,0.25,0.30042112593959325,0.6087420947092432,False,21.0,,False
2024-02-29,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7437100388794398,0.04291248107830619,0.045155308927083124,-0.4040574214311437,7.175406691729822,0.8736482167016356,13,2,13335218237.109375,4494477957.03125,-0.21255727280963677,-4.702681953715026,33,0.24242424242424243,0.32572081513303713,0.5994776268980169,False,25.0,,False
2024-03-29,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7246069146755787,0.035448459674681625,0.010841595174141424,-0.3523825010779136,6.230589902445978,0.5553239913436724,12,1,14588578872.949219,4352620966.308594,-0.10605529917709622,-2.0967002702107695,38,0.42105263157894735,0.19731703216937393,0.6602078347910673,False,10.0,,False
2024-04-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7137006550860991,0.03641843544362764,0.011091898248787495,-0.30183644140037497,6.138250849465339,1.0947217963184952,21,2,13880302409.667969,4445202471.899414,-0.06456198586941342,-1.189525557333365,6,0.16666666666666666,0.20187254812793243,0.7087263488528263,False,5.0,,False
2024-05-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6933956354157657,0.029119892183057994,0.005886109701029255,-0.2544800069489323,5.628402602430696,5.978471090615279,22,3,14108550686.572266,4340993706.37207,-0.11361405937537761,-2.0856009140384324,6,0.16666666666666666,0.13390899569841555,0.6371610043558209,False,18.0,,False
2024-06-28,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6854353115412408,0.03493613022061601,0.6663617092476437,-0.18316751315883856,19.01363922368449,0.5155793502653423,13,8,14974775859.667969,5224373196.6796875,-0.018730949113713202,-0.2643969041051349,7,0.42857142857142855,1.0,0.7309697319771263,False,4.0,,False
2024-07-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7063637521640863,0.0449414892768534,0.8278996862891592,0.38782188000365253,38.53985603755388,1.3012728514366734,5,6,18816331947.143555,10227137814.30664,-0.05042571845527488,-1.1510073214833774,18,0.5,0.9861635254644702,0.6096530814018182,False,17.0,,False
2024-08-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7890348851459863,0.03320555407682651,0.506575640136997,0.46860025442476644,26.589196477378653,8.039437888212753,6,8,19726998820.3125,13355574842.285156,-0.03957634995675907,-0.87404117290248,21,0.42857142857142855,0.8615853455833156,0.6345267162372475,False,24.0,,False
2024-09-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.800237159207313,0.054791852008938054,0.2491085395304436,0.5114668597352178,18.21169130966241,0.5917108883183962,5,11,20343422012.402344,13247094841.113281,0.034044165991161,0.7093471640263772,25,0.52,0.8769807218401561,0.7943532768836216,False,3.0,,False
2024-10-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8107176863596194,0.015519549892843104,0.18984388874602398,0.48150633510700064,14.503325063172731,1.209050710890558,9,13,16908934665.161133,9302340534.082031,0.05830801561126009,1.1315920267178987,27,0.5185185185185185,0.8318621821118501,0.8457027153552362,False,1.0,,False
2024-11-29,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7857595238002242,0.01997974197644861,0.19848840441483295,0.38266133250633,12.909799881781867,3.2327317626780836,19,13,16258697495.751953,7577304981.640625,0.044887254097492946,0.6858988083030111,31,0.45161290322580644,0.9894488899117243,0.822039079222983,False,1.0,,False
2024-12-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7832185634227229,0.02238367766586702,0.11673856562529017,0.38248735938235373,10.993292671440939,0.421023576381722,20,6,13249743713.623047,5612451511.987305,0.022169171618349637,0.3914646200033569,17,0.5294117647058824,0.7864069148360456,0.867586938203729,False,1.0,,False
2025-01-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7789219764164368,0.015657528381000138,0.16229889668551828,0.3915578089773977,11.336452564794524,0.8725367871631068,17,7,13683350908.007812,4461339718.383789,-0.11276103595243459,-1.9175977515518212,5,0.2,0.568046138399314,0.7359555858400763,False,5.0,,False
2025-02-28,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7535946468872842,0.017702456830011475,0.14479254386934587,0.38939346921050144,10.829120059845732,1.0040425100819859,18,9,15276456995.776367,4371671132.8125,-0.0525524769000697,-0.47993602702896604,7,0.5714285714285714,0.6274343567671654,0.7860117172422542,False,3.0,,False
2025-03-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7497614731479241,0.022220457975330603,0.3465952635974985,0.398769832954698,13.262498601623301,0.45802092085294893,18,9,16178108847.583008,4605208014.770508,0.0026755054302165515,0.12308415552033924,6,0.5,0.6370379180652448,0.8066871473347637,False,2.0,,False
2025-04-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.8021120904881157,0.039298858345142705,0.2717189763319596,0.47917904287821816,13.929362317381925,0.3828439029524839,15,8,16432303791.845703,5409339716.6015625,0.019435026292172974,0.29208766096135524,6,0.8333333333333334,0.6303209580645464,0.8068174048868426,False,2.0,,False
2025-05-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7415875975348509,0.016592044601175866,0.8783364332804469,0.5342838591456215,23.811255569358263,0.4069721749058029,1,4,17475964983.154297,5096633936.767578,-0.10868976276269071,-1.3787065410144264,9,0.4444444444444444,0.9675261305442561,0.5329238070048629,False,39.0,,False
2025-06-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.743167927081808,0.018550084581524233,0.9086143010711176,0.5538358511284294,32.61233754597955,0.46782993927436267,3,2,16695873815.74707,4577993421.020508,-0.13002262075654147,-1.563461234130813,20,0.45,0.9578640387330214,0.4723453410098673,False,55.0,,False
2025-07-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.7423564851276044,0.02766085695344064,0.911670029763757,0.5052350494715805,39.26546212922514,0.5245622874204001,7,1,14608511828.00293,3329315764.9414062,-0.15982223937707418,-1.9419259609500663,33,0.3333333333333333,0.911670029763757,0.4133634069393963,False,70.0,,False
2025-08-29,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6875818462825282,0.027788541161400733,0.8965748282229303,0.426653311466571,39.35142469910968,0.4044275805079007,10,1,12387400570.703125,3323832872.607422,-0.1428148889143307,-1.9420640760745043,35,0.2857142857142857,0.9487012717242634,0.4652746684355223,False,62.0,,False
2025-09-30,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6848348878864906,0.013613403510875926,0.8388497489274874,0.35788120586933836,35.87938306855269,0.8732395841066459,8,0,11892855887.109375,3667516077.392578,-0.14915719347681877,-1.6819236173112135,32,0.40625,0.9712471482903992,0.5186102262884014,False,46.0,,False
2025-10-31,6981.T,6976.T,6981.T/6976.T,村田製作所,太陽誘電,1.0,0.6685415278155638,0.022369742358648765,0.8203708880286351,0.392764964740701,32.46348711751777,0.4312607638621776,4,4,16353122868.164062,4628610174.21875,-0.09064520063016523,-1.1492616198835992,7,0.42857142857142855,0.9938728258197338,0.5579536166598682,False,31.0,,False
