Date,z,beta,target_dir,position_dir,w_murata,w_taiyo,gross_return,turnover,transaction_cost,borrow_cost,net_return,equity,drawdown
2026-01-05,1.0902102155816122,0.6400696690401967,-1,0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0
2026-01-06,1.1929201887178216,0.6459911983065211,-1,-1,-0.5,0.5,0.0,1.0,0.001,0.0,-0.001,0.999,-0.0010000000000000009
2026-01-07,1.1831631813229166,0.6519213330247894,-1,-1,-0.5,0.5,0.00017086247745279337,0.0,0.0,1.984126984126984e-05,0.00015102120761152353,0.9991508701864038,-0.0008491298135961944
2026-01-08,1.095537071216287,0.6575975164446033,-1,-1,-0.5,0.5,-0.007013677078653802,0.0,0.0,1.984126984126984e-05,-0.007033518348495071,0.992123324208033,-0.007876675791967047
2026-01-09,1.1167341315220427,0.662719696682046,-1,-1,-0.5,0.5,-0.0015383526859630292,0.0,0.0,1.984126984126984e-05,-0.001558193955804299,0.9905774036408396,-0.009422596359160429
2026-01-13,1.4059512438926776,0.6678638055403789,-1,-1,-0.5,0.5,-0.01182539987462805,0.0,0.0,1.984126984126984e-05,-0.011845241144469321,0.9788437754224516,-0.0211562245775484
2026-01-14,1.342846140534885,0.6734667661599597,-1,-1,-0.5,0.5,0.013825463985000619,0.0,0.0,1.984126984126984e-05,0.013805622715159348,0.9923573232830161,-0.007642676716983932
2026-01-15,1.3136891847629857,0.6797848010639224,-1,-1,-0.5,0.5,-0.0024264674421187182,0.0,0.0,1.984126984126984e-05,-0.0024463087119599883,0.9899297109176916,-0.010070289082308448
2026-01-16,1.3190599410161523,0.6858878734003698,-1,-1,-0.5,0.5,-0.0004004390850317341,0.0,0.0,1.984126984126984e-05,-0.0004202803548730039,0.9895136629074878,-0.010486337092512232
2026-01-19,1.378137013645046,0.6922074184014849,-1,-1,-0.5,0.5,-0.00360912111252637,0.0,0.0,1.984126984126984e-05,-0.00362896238236764,0.9859227550479577,-0.014077244952042323
2026-01-20,1.1028310917312079,0.6988096043246756,-1,-1,-0.5,0.5,0.008287229820501951,0.0,0.0,1.984126984126984e-05,0.00826738855066068,0.9940737615448771,-0.005926238455122856
2026-01-21,1.1142928500941243,0.704030351380205,-1,-1,-0.5,0.5,-0.0016277579590582292,0.0,0.0,1.984126984126984e-05,-0.001647599228899499,0.9924359263818866,-0.007564073618113398
2026-01-22,1.0674440506187877,0.7096225136899421,-1,-1,-0.5,0.5,0.004616272584065606,0.0,0.0,1.984126984126984e-05,0.0045964313142243364,0.9969975899512696,-0.003002410048730364
2026-01-23,1.0958907784506542,0.7153831577285201,-1,-1,-0.5,0.5,-0.0024770344936665967,0.0,0.0,1.984126984126984e-05,-0.0024968757635078667,0.9945082108326445,-0.0054917891673554875
2026-01-26,0.9984317191726257,0.720834031673077,-1,-1,-0.5,0.5,-0.003569719072762989,0.0,0.0,1.984126984126984e-05,-0.003589560342604259,0.9909383635986453,-0.009061636401354711
2026-01-27,1.2148614429398776,0.725707726999978,-1,-1,-0.5,0.5,-0.010655786363062358,0.0,0.0,1.984126984126984e-05,-0.010675627632903629,0.9803594746217072,-0.01964052537829275
2026-01-28,1.3072909692711432,0.7311230398973347,-1,-1,-0.5,0.5,-0.008185083114370162,0.0,0.0,1.984126984126984e-05,-0.008204924384211432,0.9723156992630909,-0.027684300736909084
2026-01-29,1.2242984088876372,0.7354975616602737,-1,-1,-0.5,0.5,0.001436499683598158,0.0,0.0,1.984126984126984e-05,0.0014166584137568882,0.97369313847928,-0.026306861520720037
2026-01-30,1.189454082400186,0.7396092026734346,-1,-1,-0.5,0.5,0.001698629263823026,0.0,0.0,1.984126984126984e-05,0.0016787879939817562,0.9753277628299813,-0.02467223717001865
2026-02-02,0.9270442965499653,0.743361405835106,-1,-1,-0.5,0.5,0.012296787749702054,0.0,0.0,1.984126984126984e-05,0.012276946479860783,0.9873018095745675,-0.01269819042543252
2026-02-03,1.394275573818581,0.7471474913849566,0,-1,-0.5,0.5,-0.016343566901821482,0.0,0.0,1.984126984126984e-05,-0.016363408171662753,0.9711461870758776,-0.02885381292412237
2026-02-04,1.3003574856097684,0.7523355297219539,-1,0,0.0,-0.0,0.005119077768056535,1.0,0.001,1.984126984126984e-05,0.004099236498215265,0.9751271449710417,-0.024872855028958307
2026-02-05,1.0171806280428644,0.7579301684637265,-1,-1,-0.5,0.5,-0.0,1.0,0.001,0.0,-0.001,0.9741520178260706,-0.025847982173929362
2026-02-06,0.7095872138604797,0.763206010393047,-1,-1,-0.5,0.5,0.01391539837884287,0.0,0.0,1.984126984126984e-05,0.013895557109001599,0.9876884028226219,-0.012311597177378064
2026-02-09,0.008978106625804859,0.7680877195890364,0,-1,-0.5,0.5,0.04431100191034565,0.0,0.0,1.984126984126984e-05,0.04429116064050438,1.031434268534802,0.0
2026-02-10,-0.08143837082285342,0.7717528802913662,0,0,0.0,-0.0,0.007092230942001065,1.0,0.001,1.984126984126984e-05,0.006072389672159796,1.0376975393345642,0.0
2026-02-12,-0.4257104329868271,0.7757177324904001,0,0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0376975393345642,0.0
2026-02-13,-0.41404551953217256,0.778671532955555,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-16,-0.3922713481100742,0.782155792599884,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
2026-02-17,-0.3901474093812196,0.7858009836793651,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0376975393345642,0.0
