Date,corr126,beta252,beta_cv,adf_p252,eg_p252,half_life252,resid_sigma252,zero_cross126,opportunities63,trail126_sharpe,trail126_return,trail126_trades,trail126_win_rate,gate_structural,gate_confirmed
2022-01-14,0.6563902415371251,0.29089818496255104,0.30040559508694625,0.12798520331462954,0.2993659795904501,17.392498741882576,0.05420598834119108,12,3,,0.0,0,,False,False
2022-01-21,0.6656074578618529,0.31585265863378714,0.5797563465690408,0.056158280500380374,0.16213431532135242,14.260362832667024,0.051901822723918724,11,3,6.031971857857463,0.01647624881648957,0,,True,False
2022-01-28,0.6660288056976819,0.33218993432825356,0.5132397281912653,0.029815322524321196,0.09784426560808707,14.0889882290785,0.04908407930253195,11,4,4.760512315787372,0.023487192265457146,0,,True,False
2022-02-04,0.6553021914427715,0.3208004814920081,0.27296794002722413,0.021981617229890633,0.07613881170975298,9.617454513684175,0.04555513971803399,9,5,-0.914063345772959,-0.010215781546118463,1,0.0,True,False
2022-02-10,0.6812126726382352,0.31723075289397923,0.20228483933195632,0.04694002035372777,0.13808232476108467,11.99290236410141,0.043313729405364446,5,4,1.8514175191747244,0.02690997777358395,1,0.0,True,False
2022-02-18,0.6754771420331067,0.32527350882653705,0.18025192933770445,0.06759068510466291,0.18344690820092507,12.578993991063642,0.04323397353580236,7,5,0.8657243996792484,0.014607064767340638,1,0.0,True,False
2022-02-25,0.6764212467239018,0.344899960078557,0.1474196539690584,0.4346221365729055,0.687340598045721,11.734207347461098,0.042619553969419334,13,3,0.736886041102143,0.013249152670391284,1,0.0,False,False
2022-03-04,0.6851002737945886,0.3646286228020926,0.07602339931920209,0.5028039029159906,0.7288876648475273,15.910731992168502,0.04222712125226829,13,3,0.495164063580566,0.009202999123075983,1,0.0,False,False
2022-03-11,0.6868843321451197,0.4052758146411624,0.10559213282032698,0.6089997778397589,0.8004717619801276,17.221905685775727,0.043665283819575816,11,2,0.7853894328375938,0.017131965277351835,2,0.5,False,False
2022-03-18,0.7187403620806334,0.43166918129622756,0.09663682087945304,0.344472899503158,0.5594482156685374,16.762384487429998,0.04417021536538242,11,2,-0.1984374308025649,-0.007076636275966552,2,0.5,False,False
2022-03-25,0.7346198133828616,0.436590119339383,0.14047944611414967,0.2083804101946281,0.4119550426803919,15.850288250617368,0.04413103202697363,11,2,-0.39319444540664916,-0.013043522988090972,2,0.5,False,False
2022-04-01,0.734441549444409,0.4402208179436391,0.2607374794130143,0.2345671381236007,0.4560096221956731,17.335520653180577,0.043962204794451495,13,2,-0.37325438354138774,-0.0131120368737484,2,0.5,False,False
2022-04-08,0.770319362093568,0.4508186414723897,0.393755505510796,0.424013132154944,0.6719495601347676,18.25817234958107,0.04440196666462274,13,2,0.040006626458245556,-0.0008933756564492024,3,0.3333333333333333,False,False
2022-04-15,0.7786525365318235,0.466545560701399,0.44282222770336843,0.14135261679354238,0.34084286250986295,16.814122898228703,0.04383229122066256,10,3,-0.08454320416959174,-0.005126508216953818,3,0.3333333333333333,False,False
2022-04-22,0.7772348071950238,0.4771336794681771,0.47296263329492505,0.22447460633695343,0.4664821118692366,16.33825614426541,0.0434294016977862,9,5,-0.13063130691193683,-0.0069586098030957055,3,0.3333333333333333,False,False
2022-04-28,0.782211433539132,0.49054245279690606,0.4206489939458846,0.2535321695396474,0.504620683675588,14.38451608031009,0.04285403196103789,5,5,-0.27787783430967855,-0.012496256008630136,3,0.3333333333333333,False,False
2022-05-06,0.7805034344751224,0.49635736379030615,0.4006877149898706,0.16808575547892673,0.37916032640956343,13.754750709056799,0.04206082754807357,6,5,0.030413027164958067,-0.0012353928003854264,4,0.25,False,False
2022-05-13,0.7799679910700654,0.5125529175559934,0.2850942844848739,0.1863328381980039,0.40438068064904303,11.715509662499917,0.04005751574475851,6,5,0.029447613099144163,-0.0012353928003854264,4,0.25,True,False
2022-05-20,0.7868420512899154,0.5246550903858381,0.21112082998527856,0.27561401000509167,0.5191887211325396,11.812996470236946,0.038411593557584785,9,7,0.02856864243599964,-0.0012353928003854264,4,0.25,False,False
2022-05-27,0.7966243262206835,0.5448829043658954,0.1660074901176202,0.3467609734630027,0.5954104812294845,11.460937793314134,0.03734621611210685,11,7,0.02776394227592773,-0.0012353928003854264,4,0.25,False,False
2022-06-03,0.7948750188262035,0.5575539535121751,0.1344174670026005,0.3070279056124121,0.5521289895100632,11.652257901565434,0.036799210887636914,11,5,0.027023611474260065,-0.0012353928003854264,4,0.25,False,False
2022-06-10,0.7947572082203075,0.560846560617948,0.09045750667806368,0.06529783291106232,0.17926192713769623,11.90950088970182,0.0367486591130333,15,5,0.026339503166745964,-0.0012353928003854264,4,0.25,False,False
2022-06-17,0.8025353160859516,0.5657039185017316,0.10114955739332397,0.06862436565005973,0.18631862533631094,11.999799726547106,0.036407109131104655,15,4,0.025704844414216818,-0.0012353928003854264,4,0.25,True,False
2022-06-24,0.8193735549566418,0.5691892695236647,0.11160724284587369,0.06803628203860439,0.1850760740697091,11.938897508949223,0.0363009086482152,12,4,0.025113952002594413,-0.0012353928003854264,4,0.25,True,False
2022-07-01,0.8268285737363886,0.5727005944686941,0.17025394634448188,0.0703725123937165,0.18992462186670306,11.990481273118094,0.036304342478142695,13,4,0.02456201693377622,-0.0012353928003854264,4,0.25,True,False
2022-07-08,0.8262407671704394,0.5711544688412937,0.2878144185496151,0.19570607638355875,0.20324576801059607,12.243117041613248,0.03629826895679284,12,3,0.024044938812964173,-0.0012353928003854264,4,0.25,True,False
2022-07-15,0.8239736805688533,0.5701017896364131,0.3120322344625071,0.15760875205968639,0.14033580320487798,11.437281090265902,0.03618790427743802,10,3,0.02355919703155401,-0.0012353928003854264,4,0.25,True,False
2022-07-22,0.8243488483056202,0.5689196690260313,0.3035160406253719,0.018880297910736938,0.06591691112788949,10.024556639465338,0.035515255170391336,10,2,0.02337297892525915,-0.0012353928003854264,4,0.25,True,False
2022-07-29,0.8210886877623597,0.5658795595913196,0.2816412265210411,0.018268503206260348,0.06405358152098112,9.495317351213213,0.03401718035127989,8,2,-0.3272482557111016,-0.01758702171302895,4,0.25,True,False
2022-08-05,0.7925940730863287,0.5637877973446643,0.24507590924586953,0.13863653939752224,0.32332538501137237,8.854329232657273,0.03272820960277601,10,3,-0.9453520502982384,-0.048927540338171815,4,0.25,True,False
2022-08-12,0.8317416042695261,0.5548635892885496,0.20943720710143285,0.010938606300533033,0.04163807482490216,8.36346384029887,0.032044616518232975,8,2,-0.374677737909639,-0.018990572546981666,3,0.3333333333333333,True,False
2022-08-19,0.8448992159072709,0.5415551461025743,0.20660716042572694,0.02732802815383089,0.08910536035493377,9.21338694497917,0.03143600225591108,10,2,-1.161519261025248,-0.04454684021194277,3,0.3333333333333333,True,False
2022-08-26,0.8490002372273702,0.5296983074535926,0.19265200439271318,0.02183284041570376,0.07412753238648946,9.037769277142376,0.03140155729084071,11,2,-1.23116383042393,-0.04300437206749641,3,0.3333333333333333,True,False
2022-09-02,0.8437487771844877,0.5228055620713189,0.1632034804623856,0.018270010488550162,0.06394405806832135,8.76617882714486,0.030879613486217462,11,3,-1.0708127683847126,-0.03761171676327302,5,0.2,True,False
2022-09-09,0.8399607986091624,0.5145428393655507,0.18309174098205483,0.022171521038692073,0.07504257050012764,8.936602637385796,0.03097188689176348,9,4,-1.399349741099664,-0.04705068160512815,4,0.0,True,False
2022-09-16,0.8299949137558892,0.49902465596022016,0.1907355260963022,0.009836391422808519,0.03805536249252158,8.435422515765065,0.030686983702948034,11,7,-1.1431700541239593,-0.03844219894033041,4,0.0,True,False
2022-09-22,0.8300034168532375,0.4852947057675766,0.18071607257437772,0.0029524239436512514,0.013494717772975898,7.418551071317946,0.029779726469503776,13,7,-1.0947859116369716,-0.03598367780154643,4,0.25,True,False
2022-09-30,0.8231312170080315,0.470776035359851,0.1258833737837883,0.009743185919540055,0.03756340195064103,7.780420091715247,0.028587674942291672,16,7,-1.0350364046763514,-0.032004325262796396,5,0.2,True,False
2022-10-07,0.8272715989101157,0.45709232648405707,0.216954089204192,0.0027539117930866193,0.012655530765588731,6.761050176663556,0.027763347133373768,15,6,-0.8553313915887018,-0.026610350490053558,6,0.3333333333333333,True,False
2022-10-14,0.833401116359655,0.4472293759783661,0.2400613117273879,0.01075081404556004,0.040911230411628696,7.726942864032264,0.026598189464794846,13,6,-1.3393226864366803,-0.03855087470320284,5,0.2,True,False
2022-10-21,0.8329090777768345,0.44729745864706116,0.23643125891379155,0.01032633501734469,0.039555753491933535,7.753087015213427,0.02653412747645654,20,6,-1.2734903307798453,-0.0344599610029408,5,0.4,True,False
2022-10-28,0.8325571520359687,0.44514141501609716,0.25085371128139283,0.007991859631901957,0.031812522399579414,7.570009671005448,0.026451392878695468,20,5,-1.2544470791320244,-0.032678597754245864,5,0.4,True,False
