period,start,end,strategy,tc_bp,borrow_rate,total_return,ann_return,ann_vol,sharpe,max_drawdown,trades,win_rate,avg_holding_days,turnover
validation_2025,2025-01-06,2025-12-30,conservative,5.0,0.05,-0.09520086717515408,-0.09854718967123088,0.12287123612764723,-0.781709048632189,-0.1446923017258288,2,0.5,32.5,4.0
validation_2025,2025-01-06,2025-12-30,conservative,10.0,0.01,-0.09233006794271337,-0.0955809010832327,0.12281403661080614,-0.755400925604233,-0.1438404709520602,2,0.5,32.5,4.0
validation_2025,2025-01-06,2025-12-30,conservative,10.0,0.03,-0.09467199035690232,-0.09800074735938036,0.1228357282582084,-0.7770437429385157,-0.14469485730329423,2,0.5,32.5,4.0
validation_2025,2025-01-06,2025-12-30,conservative,10.0,0.05,-0.09700796301276504,-0.10041421496104042,0.12285805156568137,-0.7986748114690732,-0.14554842512375454,2,0.5,32.5,4.0
validation_2025,2025-01-06,2025-12-30,conservative,20.0,0.01,-0.09595467535823599,-0.09932601350595116,0.1228120486109783,-0.7891895475838457,-0.1455547835128831,2,0.5,32.5,4.0
validation_2025,2025-01-06,2025-12-30,conservative,20.0,0.03,-0.09828731719692574,-0.10173591324112174,0.12283405348279618,-0.8108246807505549,-0.146407493168342,2,0.5,32.5,4.0
validation_2025,2025-01-06,2025-12-30,conservative,20.0,0.05,-0.10061403267346403,-0.1041394603261313,0.12285668991028036,-0.8324477844431045,-0.1472593858667075,2,0.5,32.5,4.0
holdout_2026,2026-01-05,2026-09-01,low_always,5.0,0.01,0.34712770507383417,0.5896537098259707,0.2261761227305843,2.1622284699386385,-0.15649193881107815,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_always,5.0,0.03,0.3421805281725532,0.5805819147494533,0.22613805237121218,2.137206480642661,-0.15703311048996904,11,0.6363636363636364,8.454545454545455,22.0
holdout_2026,2026-01-05,2026-09-01,low_always,5.0,0.05,0.3372513245191744,0.5715615344083342,0.22610040740861215,2.1121720910651183,-0.15757395666009089,11,0.6363636363636364,8.454545454545455,22.0
